1, none, biomesoplenty:origin_valley, MONSTER, alexsmobs:centipede_head,10,1,1
108, savanna, biomesoplenty:scrubland, MONSTER, minecraft:creeper,50,4,4
109, savanna, biomesoplenty:scrubland, MONSTER, minecraft:enderman,10,1,4
110, savanna, biomesoplenty:scrubland, MONSTER, minecraft:skeleton,50,4,4
111, savanna, biomesoplenty:scrubland, MONSTER, minecraft:slime,50,4,4
112, savanna, biomesoplenty:scrubland, MONSTER, minecraft:spider,50,4,4
113, savanna, biomesoplenty:scrubland, MONSTER, minecraft:witch,10,1,1
114, savanna, biomesoplenty:scrubland, MONSTER, minecraft:zombie,50,4,4
115, savanna, biomesoplenty:scrubland, MONSTER, minecraft:zombie_villager,10,1,1
116, savanna, biomesoplenty:scrubland, MONSTER, quark:stoneling,50,1,1
117, savanna, biomesoplenty:scrubland, MONSTER, quark:toretoise,50,1,1
118, savanna, biomesoplenty:scrubland, CREATURE, alexsmobs:elephant,30,3,5
119, savanna, biomesoplenty:scrubland, CREATURE, alexsmobs:fly,10,2,3
120, savanna, biomesoplenty:scrubland, CREATURE, alexsmobs:gazelle,40,7,7
121, savanna, biomesoplenty:scrubland, CREATURE, minecraft:donkey,10,1,3
122, savanna, biomesoplenty:scrubland, CREATURE, minecraft:horse,10,2,6
123, savanna, biomesoplenty:scrubland, AMBIENT, alexsmobs:cockroach,10,5,5
124, savanna, biomesoplenty:scrubland, AMBIENT, minecraft:bat,10,8,8
125, river, minecraft:frozen_river, MONSTER, alexsmobs:centipede_head,10,1,1
126, river, minecraft:frozen_river, MONSTER, lurkermod:lurker,35,1,1
127, river, minecraft:frozen_river, MONSTER, minecraft:creeper,50,4,4
128, river, minecraft:frozen_river, MONSTER, minecraft:drowned,10,1,1
129, river, minecraft:frozen_river, MONSTER, minecraft:enderman,10,1,4
130, river, minecraft:frozen_river, MONSTER, minecraft:skeleton,50,4,4
131, river, minecraft:frozen_river, MONSTER, minecraft:slime,50,4,4
132, river, minecraft:frozen_river, MONSTER, minecraft:spider,50,4,4
133, river, minecraft:frozen_river, MONSTER, minecraft:witch,10,1,1
134, river, minecraft:frozen_river, MONSTER, minecraft:zombie,50,4,4
135, river, minecraft:frozen_river, MONSTER, minecraft:zombie_villager,10,1,1
136, river, minecraft:frozen_river, MONSTER, quark:stoneling,50,1,1
137, river, minecraft:frozen_river, MONSTER, quark:toretoise,50,1,1
138, river, minecraft:frozen_river, CREATURE, alexsmobs:fly,10,2,3
139, river, minecraft:frozen_river, AMBIENT, alexsmobs:cockroach,10,5,5
140, river, minecraft:frozen_river, AMBIENT, minecraft:bat,10,8,8
141, river, minecraft:frozen_river, WATER_CREATURE, minecraft:squid,10,1,4
142, river, minecraft:frozen_river, CREATURE, cnb:grebe,30,1,1
143, river, minecraft:frozen_river, WATER_AMBIENT, minecraft:salmon,10,1,5
144, the_end, betterendforge:painted_mountains, MONSTER, lurkermod:lurker,10,1,1
145, the_end, betterendforge:painted_mountains, MONSTER, minecraft:enderman,35,1,2
146, the_end, betterendforge:painted_mountains, MONSTER, outer_end:purpur_golem,10,1,1
147, jungle, minecraft:jungle, MONSTER, alexsmobs:centipede_head,10,1,1
148, jungle, minecraft:jungle, MONSTER, lurkermod:lurker,35,1,1
149, jungle, minecraft:jungle, MONSTER, minecraft:creeper,50,4,4
150, jungle, minecraft:jungle, MONSTER, minecraft:enderman,10,1,4
151, jungle, minecraft:jungle, MONSTER, minecraft:ocelot,10,1,3
152, jungle, minecraft:jungle, MONSTER, minecraft:skeleton,50,4,4
153, jungle, minecraft:jungle, MONSTER, minecraft:slime,50,4,4
154, jungle, minecraft:jungle, MONSTER, minecraft:spider,50,4,4
155, jungle, minecraft:jungle, MONSTER, minecraft:witch,10,1,1
156, jungle, minecraft:jungle, MONSTER, minecraft:zombie,50,4,4
157, jungle, minecraft:jungle, MONSTER, minecraft:zombie_villager,10,1,1
158, jungle, minecraft:jungle, MONSTER, quark:stoneling,50,1,1
159, jungle, minecraft:jungle, MONSTER, quark:toretoise,50,1,1
160, jungle, minecraft:jungle, CREATURE, alexsmobs:capuchin_monkey,55,9,12
161, jungle, minecraft:jungle, CREATURE, alexsmobs:fly,10,2,3
162, jungle, minecraft:jungle, CREATURE, alexsmobs:gorilla,35,7,7
163, jungle, minecraft:jungle, CREATURE, alexsmobs:hummingbird,39,7,7
164, jungle, minecraft:jungle, CREATURE, minecraft:panda,10,1,2
165, jungle, minecraft:jungle, CREATURE, minecraft:parrot,40,1,2
166, jungle, minecraft:jungle, AMBIENT, alexsmobs:cockroach,10,5,5
167, jungle, minecraft:jungle, AMBIENT, minecraft:bat,10,8,8
168, plains, biomesoplenty:highland_moor, MONSTER, alexsmobs:centipede_head,10,1,1
169, plains, biomesoplenty:highland_moor, MONSTER, lurkermod:lurker,35,1,1
170, plains, biomesoplenty:highland_moor, MONSTER, minecraft:creeper,50,4,4
171, plains, biomesoplenty:highland_moor, MONSTER, minecraft:enderman,10,1,4
172, plains, biomesoplenty:highland_moor, MONSTER, minecraft:skeleton,50,4,4
173, plains, biomesoplenty:highland_moor, MONSTER, minecraft:slime,50,4,4
174, plains, biomesoplenty:highland_moor, MONSTER, minecraft:spider,50,4,4
175, plains, biomesoplenty:highland_moor, MONSTER, minecraft:witch,10,1,1
176, plains, biomesoplenty:highland_moor, MONSTER, minecraft:zombie,50,4,4
177, plains, biomesoplenty:highland_moor, MONSTER, minecraft:zombie_villager,10,1,1
178, plains, biomesoplenty:highland_moor, MONSTER, quark:stoneling,50,1,1
179, plains, biomesoplenty:highland_moor, MONSTER, quark:toretoise,50,1,1
180, plains, biomesoplenty:highland_moor, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
181, plains, biomesoplenty:highland_moor, CREATURE, alexsmobs:crocodile,40,1,2
182, plains, biomesoplenty:highland_moor, CREATURE, alexsmobs:fly,10,2,3
183, plains, biomesoplenty:highland_moor, CREATURE, alexsmobs:shoebill,10,1,2
184, plains, biomesoplenty:highland_moor, CREATURE, alexsmobs:sunbird,10,1,1
185, plains, biomesoplenty:highland_moor, CREATURE, minecraft:cow,10,4,4
186, plains, biomesoplenty:highland_moor, CREATURE, minecraft:llama,10,4,6
187, plains, biomesoplenty:highland_moor, CREATURE, minecraft:sheep,12,4,4
188, plains, biomesoplenty:highland_moor, AMBIENT, alexsmobs:cockroach,10,5,5
189, plains, biomesoplenty:highland_moor, AMBIENT, minecraft:bat,10,8,8
190, plains, biomesoplenty:highland_moor, AMBIENT, supplementaries:firefly,10,5,9
191, beach, biomesoplenty:tropic_beach, MONSTER, alexsmobs:centipede_head,10,1,1
192, beach, biomesoplenty:tropic_beach, MONSTER, lurkermod:lurker,35,1,1
193, beach, biomesoplenty:tropic_beach, MONSTER, minecraft:creeper,50,4,4
194, beach, biomesoplenty:tropic_beach, MONSTER, minecraft:enderman,10,1,4
195, beach, biomesoplenty:tropic_beach, MONSTER, minecraft:skeleton,50,4,4
196, beach, biomesoplenty:tropic_beach, MONSTER, minecraft:slime,50,4,4
197, beach, biomesoplenty:tropic_beach, MONSTER, minecraft:spider,50,4,4
198, beach, biomesoplenty:tropic_beach, MONSTER, minecraft:witch,10,1,1
199, beach, biomesoplenty:tropic_beach, MONSTER, quark:stoneling,50,1,1
200, beach, biomesoplenty:tropic_beach, MONSTER, quark:toretoise,50,1,1
201, beach, biomesoplenty:tropic_beach, CREATURE, alexsmobs:capuchin_monkey,55,9,12
202, beach, biomesoplenty:tropic_beach, CREATURE, alexsmobs:fly,10,2,3
203, beach, biomesoplenty:tropic_beach, CREATURE, alexsmobs:gorilla,35,7,7
204, beach, biomesoplenty:tropic_beach, CREATURE, alexsmobs:hummingbird,39,7,7
205, beach, biomesoplenty:tropic_beach, CREATURE, alexsmobs:seal,30,3,8
206, beach, biomesoplenty:tropic_beach, CREATURE, minecraft:turtle,10,2,5
207, beach, biomesoplenty:tropic_beach, CREATURE, quark:crab,10,1,3
208, beach, biomesoplenty:tropic_beach, AMBIENT, alexsmobs:cockroach,10,5,5
209, beach, biomesoplenty:tropic_beach, WATER_CREATURE, minecraft:dolphin,10,1,2
210, beach, biomesoplenty:tropic_beach, WATER_CREATURE, minecraft:squid,10,4,4
211, beach, biomesoplenty:tropic_beach, WATER_AMBIENT, alexsmobs:lobster,10,3,5
212, beach, biomesoplenty:tropic_beach, WATER_AMBIENT, minecraft:pufferfish,15,1,3
213, beach, biomesoplenty:tropic_beach, WATER_AMBIENT, minecraft:tropical_fish,25,8,8
214, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, alexsmobs:centipede_head,10,1,1
215, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, lurkermod:lurker,35,1,1
216, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, minecraft:creeper,50,4,4
217, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, minecraft:enderman,10,1,4
218, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, minecraft:skeleton,50,4,4
219, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, minecraft:slime,50,4,4
220, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, minecraft:spider,50,4,4
221, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, minecraft:witch,10,1,1
222, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, minecraft:zombie,50,4,4
223, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, minecraft:zombie_villager,10,1,1
224, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, quark:stoneling,50,1,1
225, taiga, minecraft:giant_spruce_taiga_hills, MONSTER, quark:toretoise,50,1,1
226, taiga, minecraft:giant_spruce_taiga_hills, CREATURE, alexsmobs:crow,10,3,5
227, taiga, minecraft:giant_spruce_taiga_hills, CREATURE, alexsmobs:fly,10,2,3
228, taiga, minecraft:giant_spruce_taiga_hills, CREATURE, alexsmobs:grizzly_bear,10,2,3
229, taiga, minecraft:giant_spruce_taiga_hills, CREATURE, alexsmobs:raccoon,10,2,4
230, taiga, minecraft:giant_spruce_taiga_hills, CREATURE, minecraft:fox,10,2,4
231, taiga, minecraft:giant_spruce_taiga_hills, CREATURE, minecraft:rabbit,10,2,3
232, taiga, minecraft:giant_spruce_taiga_hills, CREATURE, minecraft:wolf,10,4,4
233, taiga, minecraft:giant_spruce_taiga_hills, AMBIENT, alexsmobs:cockroach,10,5,5
234, taiga, minecraft:giant_spruce_taiga_hills, AMBIENT, minecraft:bat,10,8,8
235, savanna, minecraft:savanna_plateau, MONSTER, alexsmobs:centipede_head,10,1,1
236, savanna, minecraft:savanna_plateau, MONSTER, lurkermod:lurker,35,1,1
237, savanna, minecraft:savanna_plateau, MONSTER, minecraft:creeper,50,4,4
238, savanna, minecraft:savanna_plateau, MONSTER, minecraft:enderman,10,1,4
239, savanna, minecraft:savanna_plateau, MONSTER, minecraft:skeleton,50,4,4
240, savanna, minecraft:savanna_plateau, MONSTER, minecraft:slime,50,4,4
241, savanna, minecraft:savanna_plateau, MONSTER, minecraft:spider,50,4,4
242, savanna, minecraft:savanna_plateau, MONSTER, minecraft:witch,10,1,1
243, savanna, minecraft:savanna_plateau, MONSTER, minecraft:zombie,50,4,4
244, savanna, minecraft:savanna_plateau, MONSTER, minecraft:zombie_villager,10,1,1
245, savanna, minecraft:savanna_plateau, MONSTER, quark:stoneling,50,1,1
246, savanna, minecraft:savanna_plateau, MONSTER, quark:toretoise,50,1,1
247, savanna, minecraft:savanna_plateau, CREATURE, alexsmobs:elephant,30,3,5
248, savanna, minecraft:savanna_plateau, CREATURE, alexsmobs:fly,10,2,3
249, savanna, minecraft:savanna_plateau, CREATURE, alexsmobs:gazelle,40,7,7
250, savanna, minecraft:savanna_plateau, CREATURE, minecraft:donkey,10,1,1
251, savanna, minecraft:savanna_plateau, CREATURE, minecraft:horse,10,2,6
252, savanna, minecraft:savanna_plateau, CREATURE, minecraft:llama,10,4,4
253, savanna, minecraft:savanna_plateau, AMBIENT, alexsmobs:cockroach,10,5,5
254, savanna, minecraft:savanna_plateau, AMBIENT, minecraft:bat,10,8,8
255, taiga, minecraft:giant_spruce_taiga, MONSTER, alexsmobs:centipede_head,10,1,1
256, taiga, minecraft:giant_spruce_taiga, MONSTER, lurkermod:lurker,35,1,1
257, taiga, minecraft:giant_spruce_taiga, MONSTER, minecraft:creeper,50,4,4
258, taiga, minecraft:giant_spruce_taiga, MONSTER, minecraft:enderman,10,1,4
259, taiga, minecraft:giant_spruce_taiga, MONSTER, minecraft:skeleton,50,4,4
260, taiga, minecraft:giant_spruce_taiga, MONSTER, minecraft:slime,50,4,4
261, taiga, minecraft:giant_spruce_taiga, MONSTER, minecraft:spider,50,4,4
262, taiga, minecraft:giant_spruce_taiga, MONSTER, minecraft:witch,10,1,1
263, taiga, minecraft:giant_spruce_taiga, MONSTER, minecraft:zombie,50,4,4
264, taiga, minecraft:giant_spruce_taiga, MONSTER, minecraft:zombie_villager,10,1,1
265, taiga, minecraft:giant_spruce_taiga, MONSTER, quark:stoneling,50,1,1
266, taiga, minecraft:giant_spruce_taiga, MONSTER, quark:toretoise,50,1,1
267, taiga, minecraft:giant_spruce_taiga, CREATURE, alexsmobs:crow,10,3,5
268, taiga, minecraft:giant_spruce_taiga, CREATURE, alexsmobs:fly,10,2,3
269, taiga, minecraft:giant_spruce_taiga, CREATURE, alexsmobs:grizzly_bear,10,2,3
270, taiga, minecraft:giant_spruce_taiga, CREATURE, alexsmobs:raccoon,10,2,4
271, taiga, minecraft:giant_spruce_taiga, CREATURE, minecraft:fox,10,2,4
272, taiga, minecraft:giant_spruce_taiga, CREATURE, minecraft:rabbit,10,2,3
273, taiga, minecraft:giant_spruce_taiga, CREATURE, minecraft:wolf,10,4,4
274, taiga, minecraft:giant_spruce_taiga, AMBIENT, alexsmobs:cockroach,10,5,5
275, taiga, minecraft:giant_spruce_taiga, AMBIENT, minecraft:bat,10,8,8
276, taiga, biomesoplenty:burnt_forest, MONSTER, alexsmobs:centipede_head,10,1,1
277, taiga, biomesoplenty:burnt_forest, MONSTER, lurkermod:lurker,35,1,1
278, taiga, biomesoplenty:burnt_forest, MONSTER, minecraft:creeper,50,4,4
279, taiga, biomesoplenty:burnt_forest, MONSTER, minecraft:enderman,10,1,4
280, taiga, biomesoplenty:burnt_forest, MONSTER, minecraft:skeleton,50,4,4
281, taiga, biomesoplenty:burnt_forest, MONSTER, minecraft:slime,50,4,4
282, taiga, biomesoplenty:burnt_forest, MONSTER, minecraft:spider,50,4,4
283, taiga, biomesoplenty:burnt_forest, MONSTER, minecraft:witch,10,1,1
284, taiga, biomesoplenty:burnt_forest, MONSTER, minecraft:zombie,50,4,4
285, taiga, biomesoplenty:burnt_forest, MONSTER, minecraft:zombie_villager,10,1,1
286, taiga, biomesoplenty:burnt_forest, MONSTER, quark:stoneling,50,1,1
287, taiga, biomesoplenty:burnt_forest, MONSTER, quark:toretoise,50,1,1
288, taiga, biomesoplenty:burnt_forest, CREATURE, alexsmobs:crow,10,3,5
289, taiga, biomesoplenty:burnt_forest, CREATURE, alexsmobs:fly,10,2,3
290, taiga, biomesoplenty:burnt_forest, CREATURE, alexsmobs:grizzly_bear,10,2,3
291, taiga, biomesoplenty:burnt_forest, CREATURE, alexsmobs:raccoon,10,2,4
292, taiga, biomesoplenty:burnt_forest, AMBIENT, alexsmobs:cockroach,10,5,5
293, swamp, bayou_blues:bayou, MONSTER, alexsmobs:centipede_head,10,1,1
294, swamp, bayou_blues:bayou, MONSTER, lurkermod:lurker,35,1,1
295, swamp, bayou_blues:bayou, MONSTER, minecraft:creeper,50,4,4
296, swamp, bayou_blues:bayou, MONSTER, minecraft:enderman,10,1,4
297, swamp, bayou_blues:bayou, MONSTER, minecraft:skeleton,50,4,4
298, swamp, bayou_blues:bayou, MONSTER, minecraft:slime,50,4,4
299, swamp, bayou_blues:bayou, MONSTER, minecraft:slime,10,1,1
300, swamp, bayou_blues:bayou, MONSTER, minecraft:spider,50,4,4
301, swamp, bayou_blues:bayou, MONSTER, minecraft:witch,10,1,1
302, swamp, bayou_blues:bayou, MONSTER, minecraft:zombie,50,4,4
303, swamp, bayou_blues:bayou, MONSTER, minecraft:zombie_villager,10,1,1
304, swamp, bayou_blues:bayou, MONSTER, outvoted:hunger,10,1,1
305, swamp, bayou_blues:bayou, MONSTER, quark:stoneling,50,1,1
306, swamp, bayou_blues:bayou, MONSTER, quark:toretoise,50,1,1
307, swamp, bayou_blues:bayou, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
308, swamp, bayou_blues:bayou, CREATURE, alexsmobs:crocodile,40,1,2
309, swamp, bayou_blues:bayou, CREATURE, alexsmobs:fly,10,2,3
310, swamp, bayou_blues:bayou, CREATURE, alexsmobs:shoebill,10,1,2
311, swamp, bayou_blues:bayou, CREATURE, quark:frog,40,1,3
312, swamp, bayou_blues:bayou, CREATURE, cnb:lilytad,35,1,3
313, swamp, bayou_blues:bayou, AMBIENT, alexsmobs:cockroach,10,5,5
314, swamp, bayou_blues:bayou, AMBIENT, minecraft:bat,10,8,8
315, swamp, bayou_blues:bayou, WATER_CREATURE, minecraft:squid,10,1,2
316, swamp, bayou_blues:bayou, WATER_AMBIENT, minecraft:salmon,10,1,5
317, jungle, minecraft:modified_jungle_edge, MONSTER, alexsmobs:centipede_head,10,1,1
318, jungle, minecraft:modified_jungle_edge, MONSTER, lurkermod:lurker,35,1,1
319, jungle, minecraft:modified_jungle_edge, MONSTER, minecraft:creeper,50,4,4
320, jungle, minecraft:modified_jungle_edge, MONSTER, minecraft:enderman,10,1,4
321, jungle, minecraft:modified_jungle_edge, MONSTER, minecraft:skeleton,50,4,4
322, jungle, minecraft:modified_jungle_edge, MONSTER, minecraft:slime,50,4,4
323, jungle, minecraft:modified_jungle_edge, MONSTER, minecraft:spider,50,4,4
324, jungle, minecraft:modified_jungle_edge, MONSTER, minecraft:witch,10,1,1
325, jungle, minecraft:modified_jungle_edge, MONSTER, minecraft:zombie,50,4,4
326, jungle, minecraft:modified_jungle_edge, MONSTER, minecraft:zombie_villager,10,1,1
327, jungle, minecraft:modified_jungle_edge, MONSTER, quark:stoneling,50,1,1
328, jungle, minecraft:modified_jungle_edge, MONSTER, quark:toretoise,50,1,1
329, jungle, minecraft:modified_jungle_edge, CREATURE, alexsmobs:capuchin_monkey,55,9,12
330, jungle, minecraft:modified_jungle_edge, CREATURE, alexsmobs:fly,10,2,3
331, jungle, minecraft:modified_jungle_edge, CREATURE, alexsmobs:gorilla,35,7,7
332, jungle, minecraft:modified_jungle_edge, CREATURE, alexsmobs:hummingbird,39,7,7
333, jungle, minecraft:modified_jungle_edge, AMBIENT, alexsmobs:cockroach,10,5,5
334, jungle, minecraft:modified_jungle_edge, AMBIENT, minecraft:bat,10,8,8
335, forest, atmospheric:rainforest_mountains, MONSTER, alexsmobs:centipede_head,10,1,1
336, forest, atmospheric:rainforest_mountains, MONSTER, lurkermod:lurker,35,1,1
337, forest, atmospheric:rainforest_mountains, MONSTER, minecraft:creeper,50,4,4
